brand, name, size, Orig, Current, Save, Url,
"Puma","evoSPEED 1.2 Mixed SG - Blue/Peach","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","150.0","105.0","45.0","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoSPEED-12-Mixed-SG-Soft-Ground-Soccer-Cleats-Sharks-BlueFluro-Peach-68888.aspx",
"Puma","evoSPEED 1.2 FG - Blue/Peach","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","145.0","101.0","44.0","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoSPEED-12-FG-Firm-Ground-Soccer-Cleats-Sharks-BlueFluro-Peach-68889.aspx",
"Puma","evoSPEED 2.2 FG - Blue/Peach","SIZES  6, 6, 7, 8, 8, 9, 9, 10, 10, 11","100.0","70.0","30.0","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoSPEED-22-FG-Firm-Ground-Soccer-Cleats-Sharks-BlueFluro-Peach-68890.aspx",
"Puma","evoSPEED 3.2 FG - Blue/Peach","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12","85.0","59.0","26.0","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoSPEED-32-FG-Firm-Ground-Soccer-Cleats-Sharks-BlueFluro-Peach-68891.aspx",
"Puma","evoSPEED 4.2 FG - Blue/Peach","SIZES  7, 7, 8, 9, 9, 10, 10, 11, 13","55.0","38.0","17.0","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoSPEED-42-FG-Firm-Ground-Soccer-Cleats-Sharks-BlueFluro-Peach-68892.aspx",
"Puma","evoSPEED 5.2 Indoor - Blue/Peach","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","45.0","31.0","14.0","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoSPEED-52-Indoor-Soccer-Cleats-Sharks-BlueFluro-Peach-68895.aspx",
"Puma","evoSPEED 5.2 FG - Blue/Peach","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13","45.0","31.0","14.0","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoSPEED-52-FG-Firm-Ground-Soccer-Cleats-Sharks-BlueFluro-Peach-68893.aspx",
"Puma","evoSPEED 5.2 Turf - Blue/Peach","SIZES  7, 8, 9, 9, 10, 10, 11, 12","45.0","31.0","14.0","http://www.prodirectsoccer.com/Products/Puma-Football-Boots-Puma-evoSPEED-52-Turf-Astro-Turf-Soccer-Cleats-Sharks-BlueFluro-Peach-68894.aspx",
"Nike","Hypervenom Phantom SG-Pro - Neo Lime/Black","SIZES  5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13, 14","170.0","120.0","50.0","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Hypervenom-Phantom-SGPro-Soft-Ground-Soccer-Cleats-Neo-LimeBlack-72108.aspx",
"Nike","Hypervenom Phantom FG - Neo Lime/Black","SIZES  5, 8, 8, 9, 9, 10, 10, 11, 12, 13, 14","160.0","112.0","48.0","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Hypervenom-Phantom-FG-Firm-Ground-Soccer-Cleats-Neo-LimeBlack-72110.aspx",
"Nike","Hypervenom Phantom AG - Neo Lime/Black","SIZES  5, 8, 8, 9, 9, 10, 10, 11, 12, 13, 14","160.0","112.0","48.0","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Hypervenom-Phantom-AG-Artifical-Ground-Soccer-Cleats-Neo-LimeBlack-72109.aspx",
"Nike","Hypervenom Phatal AG - Neo Lime/Black","SIZES  5, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13, 14","100.0","70.0","30.0","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Hypervenom-Phatal-AG-Artificial-Ground-Soccer-Cleats-Neo-LimeBlack-72112.aspx",
"Nike","Hypervenom Phatal FG - Neo Lime/Black","SIZES  5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13, 14","100.0","70.0","30.0","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Hypervenom-Phatal-FG-Firm-Ground-Soccer-Cleats-Neo-LimeBlack-72111.aspx",
"Nike","Hypervenom Phelon Indoor - Neo Lime/Black","SIZES  5, 7, 8, 8, 9, 9, 10, 10, 11, 12","60.0","42.0","18.0","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Hypervenom-Phelon-Indoor-Soccer-Cleats-Neo-LimeBlack-72117.aspx",
"Nike","Hypervenom Phelon AG - Neo Lime/Black","SIZES  5, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11","60.0","42.0","18.0","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Hypervenom-Phelon-AG-Artificial-Ground-Soccer-Cleats-Neo-LimeBlack-72116.aspx",
"Nike","Hypervenom Phelon SG - Neo Lime/Black","SIZES  7, 8, 8, 9, 9, 10, 10, 11","60.0","42.0","18.0","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Hypervenom-Phelon-SG-Soft-Ground-Soccer-Cleats-Neo-LimeBlack-72114.aspx",
